Company,Group Name,Site Name,Status,Battery Status,Door,RSSI Status,RSSI,Temp,Reading Date,Drain1 DC Amps,Drain2 DC Amps,Drain3 DC Amps,Rect2 DC Amps,Rect2 DC Volts,Rectifier AC Volts,Rectifier DC Amps,Rectifier DC Volts,AC In,CP/Relay Status,Export Key
Whitecap Resources Inc.,SUCCESS REGION,Java 05-28-15-15W3M,Scheduled Reading,Ok,Disabled,Unused,,0,2023-02-10T17:19:16.000Z,,,,,,,1.15,10.09,Not Used,NotUsed,
Whitecap Resources Inc.,BENCH REGION,Bench 15-30-11-18W3M,Scheduled Reading,Ok,Disabled,Unused,,-14,2023-02-09T16:18:59.000Z,,,,,,,0.01,1.22,Not Used,NotUsed,
Whitecap Resources Inc.,BENCH REGION,Bench 06-08-11-18W3M - TANKS,Scheduled Reading,Ok,Disabled,Unused,,-8.5,2023-02-09T14:59:52.000Z,,,,,,,0.001,0.78,Not Used,NotUsed,
Whitecap Resources Inc.,BENCH REGION,Bench 06-08-11-18W3M,Scheduled Reading,Ok,Disabled,Unused,,-8.5,2023-02-09T14:59:52.000Z,,,,0.001,0.78,,8.22,20.72,Not Used,NotUsed,
Whitecap Resources Inc.,Default Group,KAKWA 6-17-62-04W6,Scheduled Reading,Ok,Disabled,Unused,,,2023-02-08T19:23:09.000Z,,,,,,,5.37,43.29,Not Used,NotUsed,
Whitecap Resources Inc.,SUCCESS REGION,Webb 01-01-15-17W3M,Power Up,Ok,Disabled,Unused,,2,2023-02-08T19:23:01.000Z,,,,,,,10.75,14.77,Not Used,NotUsed,
Whitecap Resources Inc.,GULL LAKE REGION,Premier 13-13-15-19 W3M,Scheduled Reading,Ok,Disabled,Unused,,-6.5,2023-02-08T17:48:13.000Z,,,,,,,10.64,30.92,Normal,NotUsed,
Whitecap Resources Inc.,SUCCESS REGION,Beverly West Oil 10-13-15-17W3M,Scheduled Reading,Ok,Disabled,Unused,,-2.5,2023-02-08T14:57:33.000Z,,,,,,,22.98,6.47,Not Used,NotUsed,
Whitecap Resources Inc.,BENCH REGION,Bone Creek 02-27-10-19W3M,Scheduled Reading,Ok,Disabled,Unused,,1.5,2023-02-07T14:33:26.000Z,,,,,,,9.02,9.73,Not Used,NotUsed,
Whitecap Resources Inc.,SUCCESS REGION,Webb 01-01-15-17W3M,Power Up,Ok,Disabled,Unused,,2.5,2023-02-07T00:50:36.000Z,,,,,,,10.81,14.76,Not Used,NotUsed,
Whitecap Resources Inc.,SUCCESS REGION,Webb 07-02-15-17W3M,Scheduled Reading,Ok,Disabled,Unused,,-4,2023-02-06T22:16:59.000Z,,,,,,,0.01,0,Not Used,NotUsed,
Whitecap Resources Inc.,GULL LAKE REGION,Suffield 10-09-14-19W3M,Scheduled Reading,Ok,Disabled,Unused,,,2023-02-06T21:56:13.000Z,1.58,,,,,,14.42,9.81,Not Used,NotUsed,
Whitecap Resources Inc.,BENCH REGION,Butte Voluntary 15-35-11-19W3M,Scheduled Reading,Ok,Disabled,Unused,,,2023-02-06T19:27:45.000Z,5.79,,,,,,5.74,10.13,Not Used,NotUsed,
Whitecap Resources Inc.,Default Group,KAKWA 6-17-62-04W6,Scheduled Reading,Ok,Disabled,Unused,,,2023-02-06T19:23:09.000Z,,,,,,,5.42,43.5,Not Used,NotUsed,
Whitecap Resources Inc.,GULL LAKE REGION,Gull Lake West Oil 02-27-13-19W3M,Scheduled Reading,Ok,Disabled,Unused,,,2023-02-06T18:39:38.000Z,,,,,,,3.8,13.27,Not Used,NotUsed,
Whitecap Resources Inc.,GULL LAKE REGION,Suffield 13-09-14-19W3M,Scheduled Reading,Ok,Disabled,Unused,,,2023-02-06T16:28:11.000Z,,,,,,,0.02,1.62,Not Used,NotUsed,
Whitecap Resources Inc.,GULL LAKE REGION,Suffield 11-08-14-19W3M,Scheduled Reading,Ok,Disabled,Unused,,,2023-02-06T15:30:45.000Z,,,,,,,11.36,12.76,Not Used,NotUsed,
Whitecap Resources Inc.,SUCCESS REGION,Fosterton Gas 10-29-16-18W3M,Scheduled Reading,Ok,Disabled,Unused,,-3,2023-02-06T03:11:56.000Z,,,,,,,1.98,9.76,Not Used,NotUsed,
Whitecap Resources Inc.,SUCCESS REGION,Success South 12-25-16-16W3M,Scheduled Reading,Ok,Disabled,Unused,,4,2023-02-05T22:19:54.000Z,,,,,,,6.38,6.21,Not Used,NotUsed,
Whitecap Resources Inc.,SUCCESS REGION,Success South 02-35-16-16W3M,Scheduled Reading,Ok,Disabled,Unused,,-3,2023-02-05T21:44:38.000Z,,,,,,,5.69,17.91,Not Used,NotUsed,
Whitecap Resources Inc.,SUCCESS REGION,Success South 06-26-16-16W3M,Scheduled Reading,Ok,Disabled,Unused,,0.5,2023-02-05T21:16:50.000Z,,,,,,,0.76,3.82,Not Used,NotUsed,
Whitecap Resources Inc.,GULL LAKE REGION,Gull Lake West Gas 06-04-14-19W3M,Scheduled Reading,Ok,Disabled,Unused,,,2023-02-05T20:44:34.000Z,,,,,,,8.35,12.15,Not Used,NotUsed,
Whitecap Resources Inc.,BENCH REGION,Butte Voluntary 07-03-12-19W3M,Scheduled Reading,Ok,Disabled,Unused,,,2023-02-05T16:46:13.000Z,9.45,,,,,,9.46,18.58,Not Used,NotUsed,
